"SKU","TITLE","DESCRIPTION","WEIGHT","PRICE","CATEGORY","IMAGEURL","COLORE","TAGLIA","FREESHIPPING","GROUPBY"
"101_white_L.XL","Maglia intimo sportivo carbonio carbon sport underware hi tech manica corta girocollo - L/XL","Maglietta manica corta girocollo   Composizione :POLIPROPILENE 80%, POLIAMMIDE 12%, ELASTAM 4%, CARBONIO 4%",0.1710,38.5000,"Intimo uomo hi-tech in carbonio/Carbon","http://www.viaintimosportivoasa.it/media/catalog/product/1/0/101_01_l.jpg","WHITE","L/XL","NO","101"
"101_white_S.M","Maglia intimo sportivo carbonio carbon sport underware hi tech manica corta girocollo - S/M","Maglietta manica corta girocollo   Composizione :POLIPROPILENE 80%, POLIAMMIDE 12%, ELASTAM 4%, CARBONIO 4%",0.1710,38.5000,"Intimo uomo hi-tech in carbonio/Carbon","http://www.viaintimosportivoasa.it/media/catalog/product/1/0/101_01_l.jpg","WHITE","S/M","NO","101"
"101_white_XS","Maglia intimo sportivo carbonio carbon sport underware hi tech manica corta girocollo - XS","Maglietta manica corta girocollo   Composizione :POLIPROPILENE 80%, POLIAMMIDE 12%, ELASTAM 4%, CARBONIO 4%",0.1710,38.5000,"Intimo uomo hi-tech in carbonio/Carbon","http://www.viaintimosportivoasa.it/media/catalog/product/1/0/101_01_l.jpg","WHITE","XS","NO","101"
"101_Nero_L.XL","Maglia intimo sportivo carbonio carbon sport underware hi tech manica corta girocollo - L/XL","Maglietta manica corta girocollo   Composizione :POLIPROPILENE 80%, POLIAMMIDE 12%, ELASTAM 4%, CARBONIO 4%",0.1710,38.5000,"Intimo uomo hi-tech in carbonio/Carbon","http://www.viaintimosportivoasa.it/media/catalog/product/1/0/101_01_l.jpg","BLACK","L/XL","NO","101"
"101_Nero_S.M","Maglia intimo sportivo carbonio carbon sport underware hi tech manica corta girocollo - S/M","Maglietta manica corta girocollo   Composizione :POLIPROPILENE 80%, POLIAMMIDE 12%, ELASTAM 4%, CARBONIO 4%",0.1710,38.5000,"Intimo uomo hi-tech in carbonio/Carbon","http://www.viaintimosportivoasa.it/media/catalog/product/1/0/101_01_l.jpg","BLACK","S/M","NO","101"
"101_Nero_XS","Maglia intimo sportivo carbonio carbon sport underware hi tech manica corta girocollo - XS","Maglietta manica corta girocollo   Composizione :POLIPROPILENE 80%, POLIAMMIDE 12%, ELASTAM 4%, CARBONIO 4%",0.1710,38.5000,"Intimo uomo hi-tech in carbonio/Carbon","http://www.viaintimosportivoasa.it/media/catalog/product/1/0/101_01_l.jpg","BLACK","XS","NO","101"
"101D_white_L.XL","Maglia intimo sportivo carbonio carbon sport underware hi tech manica corta girocollo - L/XL","Maglietta manica corta girocollo   Composizione :POLIPROPILENE 80%, POLIAMMIDE 12%, ELASTAM 4%, CARBONIO 4%",0.1710,38.5000,"Intimo donna hi-tech in carbonio/Carbon","http://www.viaintimosportivoasa.it/media/catalog/product/1/0/101D_01_l.jpg","WHITE","L/XL","NO","101D"
"101D_white_S.M","Maglia intimo sportivo carbonio carbon sport underware hi tech manica corta girocollo - S/M","Maglietta manica corta girocollo   Composizione :POLIPROPILENE 80%, POLIAMMIDE 12%, ELASTAM 4%, CARBONIO 4%",0.1710,38.5000,"Intimo donna hi-tech in carbonio/Carbon","http://www.viaintimosportivoasa.it/media/catalog/product/1/0/101D_01_l.jpg","WHITE","S/M","NO","101D"
"101D_white_XS","Maglia intimo sportivo carbonio carbon sport underware hi tech manica corta girocollo - XS","Maglietta manica corta girocollo   Composizione :POLIPROPILENE 80%, POLIAMMIDE 12%, ELASTAM 4%, CARBONIO 4%",0.1710,38.5000,"Intimo donna hi-tech in carbonio/Carbon","http://www.viaintimosportivoasa.it/media/catalog/product/1/0/101D_01_l.jpg","WHITE","XS","NO","101D"
"101D_Nero_L.XL","Maglia intimo sportivo carbonio carbon sport underware hi tech manica corta girocollo - L/XL","Maglietta manica corta girocollo   Composizione :POLIPROPILENE 80%, POLIAMMIDE 12%, ELASTAM 4%, CARBONIO 4%",0.1710,38.5000,"Intimo donna hi-tech in carbonio/Carbon","http://www.viaintimosportivoasa.it/media/catalog/product/1/0/101D_01_l.jpg","BLACK","L/XL","NO","101D"
"101D_Nero_S.M","Maglia intimo sportivo carbonio carbon sport underware hi tech manica corta girocollo - S/M","Maglietta manica corta girocollo   Composizione :POLIPROPILENE 80%, POLIAMMIDE 12%, ELASTAM 4%, CARBONIO 4%",0.1710,38.5000,"Intimo donna hi-tech in carbonio/Carbon","http://www.viaintimosportivoasa.it/media/catalog/product/1/0/101D_01_l.jpg","BLACK","S/M","NO","101D"
"101D_Nero_XS","Maglia intimo sportivo carbonio carbon sport underware hi tech manica corta girocollo - XS","Maglietta manica corta girocollo   Composizione :POLIPROPILENE 80%, POLIAMMIDE 12%, ELASTAM 4%, CARBONIO 4%",0.1710,38.5000,"Intimo donna hi-tech in carbonio/Carbon","http://www.viaintimosportivoasa.it/media/catalog/product/1/0/101D_01_l.jpg","BLACK","XS","NO","101D"
"902_black_unica","Fascia - UNICA","Fascia    Composizione : POLIPROPILENE 80%, POLIAMMIDE 15%, ELASTAM 5%",0.1710,8.0000,"Accessori unisex hi-tech","http://www.viaintimosportivoasa.it/media/catalog/product/9/0/902_01_l.jpg","BLACK","UNICA","NO"
"901_black_unica","Tube - UNICA","Tube    Composizione : POLIPROPILENE 80%, POLIAMMIDE 15%, ELASTAM 5%",0.1710,16.0000,"Accessori unisex hi-tech","http://www.viaintimosportivoasa.it/media/catalog/product/9/0/901_01_l.jpg","BLACK","UNICA","NO"
"900_black_unica","Sottocasco - UNICA","<p>Composizione : POLIPROPILENE 80%, POLIAMMIDE 15%, ELASTAM 5%&nbsp; <strong>Polipropilene Fibra Cava Prolen&deg;</strong></p>
<ul>
<li>Minor ritenzione idrica in assoluto(IN AMBIENTE 65% UMIDITA' A 20&deg;:  COTONE 8,00%, POLIAMMIDE 5,00%,POLIESTERE 0,40%, POLIPROPILENE FC  PROLEN&deg; 0,01%)</li>
<li>Massima leggerezza data dalla fibra cava(CAPO IN POLIPROPILENE  PROLEN&deg; DI 100 gr, IN POLIAMMIDE +25%, IN LANA +45%, IN POLIESTERE +52%,  IN COTONE +65%)</li>
<li>Batteriostatica permanente e antiodore (MIGLIOR RESISTENZA AL  PROLIFERARE DI BATTERI, FUNGHI E MICROORGANISMI, CAUSA DI CATTIVI ODORI) </li>
<li>Termoregolazione corporea (LA FIBRA CAVA PROLEN&deg; CREA UNO STRATO  COIBENTANTE SULLA PELLE, RIDUCENDO GLI SBALZI TERMICI REPENTINI)</li>
</ul>
<p><strong>I nostri capi necessitano di una minima cura nella manutenzione quotidiana</strong>&nbsp;&nbsp; Non si restringono <strong>LAVABILI IN LAVATRICE A 40&deg;</strong>, con un terzo del normale detergente. <br />L'idrorepellenza  del Polipropilene FC Prolen&deg; non consente l'assorbimento di macchie,  cosa che permette una rapida e veloce pulizia dei capi.I capi espellono  rapidamente l'acqua dopo 10 / 15 minuti ad asciugare sono pronti per  essere riutilizzati NON NECESSITANO DI STIRATURA; il ferro da stiro pu&ograve;  creare danni irreparabili a temperature superiori ai 65&deg;<br />Inoltre i  capi in Polipropilene FC Prolen&deg; e Carbonio pur subendo gli effetti  degli agenti atmosferici ed infiniti lavaggi, grazie alla tintura in  massa, mantengono la freschezza del colore e non generano effluenti  inquinanti. <br />Si crea un microclima ottimale tra il corpo ed il capo  ed una permeabilit&agrave; agli UV, che mantiene una carica moderatamente  negativa, risultante benefica per l'organismo umano. <br />La completa  inerzia ai reagenti, sia chimici che biologici (quali acidi, basici,  ossidanti e riducenti), ne consiglia l'uso anche alle persone con pelli  pi&ugrave; delicate o con sintomi allergici.Il Polipropilene F.C Prolen&deg;, non  essendo elettrostatico, non attira il pulviscolo atmosferico. Si  consiglia precauzione quando si indossano e si tolgono i nostri capi   per evitare di interrompere la continuit&agrave;; del filamento di carbonio,  lacerandolo.<br />La protezione da effetti elettromagnetici ed  elettrostatici, la rapida dispersione calorica, le performance  cardiache,la riduzione della concentrazione dell'acidosi lattica, sono  strettamente legate ad una manipolazione appropriata dei capi,  garantendone un'ottima durata nel tempo.Un appagante benessere garantito  dall'uso dei nostri capi, sopratutto negli sport con sforzo fisico  intenso e prolungato, non esclude la possibilit&agrave; di sfruttarne i  confortevoli vantaggi anche nelle attivit&agrave; lavorative, nel tempo libero.</p>",0.1710,21.0000,"Accessori unisex hi-tech","http://www.viaintimosportivoasa.it/media/catalog/product/9/0/900_01_l.jpg","BLACK","UNICA"
