SKU,TITLE,DESCRIPTION,WEIGHT,PRICE,CATEGORY,COLORE,TAGLIA,FREESHIPPING,GROUPBY,VISITURL,ENABLEBUYBUTTON,ENABLEVISITBUTTON,DISCOUNTEDPRICE
101_white_XS,Maglia intimo sportivo carbonio carbon sport underware hi tech manica corta girocollo - XS,"Maglietta manica corta girocollo   Composizione :POLIPROPILENE 80%, POLIAMMIDE 12%, ELASTAM 4%, CARBONIO 4%",0.171,38.5,Intimo uomo hi-tech in carbonio/Carbon,WHITE,XS,NO,101,http://moluko.com,yes,no,
101_Nero_L.XL,Maglia intimo sportivo carbonio carbon sport underware hi tech manica corta girocollo - L/XL,"Maglietta manica corta girocollo   Composizione :POLIPROPILENE 80%, POLIAMMIDE 12%, ELASTAM 4%, CARBONIO 4%",0.171,38.5,Intimo uomo hi-tech in carbonio/Carbon,BLACK,L/XL,NO,101,http://moluko.com,yes,no,
101_Nero_S.M,Maglia intimo sportivo carbonio carbon sport underware hi tech manica corta girocollo - S/M,"Maglietta manica corta girocollo   Composizione :POLIPROPILENE 80%, POLIAMMIDE 12%, ELASTAM 4%, CARBONIO 4%",0.171,38.5,Intimo uomo hi-tech in carbonio/Carbon,BLACK,S/M,NO,101,http://moluko.com,yes,no,
101_Nero_XS,Maglia intimo sportivo carbonio carbon sport underware hi tech manica corta girocollo - XS,"Maglietta manica corta girocollo   Composizione :POLIPROPILENE 80%, POLIAMMIDE 12%, ELASTAM 4%, CARBONIO 4%",0.171,38.5,Intimo uomo hi-tech in carbonio/Carbon,BLACK,XS,NO,101,http://moluko.com,yes,no,
101D_white_L.XL,Maglia intimo sportivo carbonio carbon sport underware hi tech manica corta girocollo - L/XL,"Maglietta manica corta girocollo   Composizione :POLIPROPILENE 80%, POLIAMMIDE 12%, ELASTAM 4%, CARBONIO 4%",0.171,38.5,Intimo donna hi-tech in carbonio/Carbon,WHITE,L/XL,NO,101D,http://moluko.com,yes,no,
101D_white_S.M,Maglia intimo sportivo carbonio carbon sport underware hi tech manica corta girocollo - S/M,"Maglietta manica corta girocollo   Composizione :POLIPROPILENE 80%, POLIAMMIDE 12%, ELASTAM 4%, CARBONIO 4%",0.171,38.5,Intimo donna hi-tech in carbonio/Carbon,WHITE,S/M,NO,101D,http://moluko.com,yes,no,
101D_white_XS,Maglia intimo sportivo carbonio carbon sport underware hi tech manica corta girocollo - XS,"Maglietta manica corta girocollo   Composizione :POLIPROPILENE 80%, POLIAMMIDE 12%, ELASTAM 4%, CARBONIO 4%",0.171,38.5,Intimo donna hi-tech in carbonio/Carbon,WHITE,XS,NO,101D,http://moluko.com,yes,no,
101D_Nero_L.XL,Maglia intimo sportivo carbonio carbon sport underware hi tech manica corta girocollo - L/XL,"Maglietta manica corta girocollo   Composizione :POLIPROPILENE 80%, POLIAMMIDE 12%, ELASTAM 4%, CARBONIO 4%",0.171,38.5,Intimo donna hi-tech in carbonio/Carbon,BLACK,L/XL,NO,101D,http://moluko.com,yes,no,
101D_Nero_S.M,Maglia intimo sportivo carbonio carbon sport underware hi tech manica corta girocollo - S/M,"Maglietta manica corta girocollo   Composizione :POLIPROPILENE 80%, POLIAMMIDE 12%, ELASTAM 4%, CARBONIO 4%",0.171,38.5,Intimo donna hi-tech in carbonio/Carbon,BLACK,S/M,NO,101D,http://moluko.com,yes,no,
101D_Nero_XS,Maglia intimo sportivo carbonio carbon sport underware hi tech manica corta girocollo - XS,"Maglietta manica corta girocollo   Composizione :POLIPROPILENE 80%, POLIAMMIDE 12%, ELASTAM 4%, CARBONIO 4%",0.171,38.5,Intimo donna hi-tech in carbonio/Carbon,BLACK,XS,NO,101D,http://moluko.com,yes,no,
902_black_unica,Fascia - UNICA,"Fascia    Composizione : POLIPROPILENE 80%, POLIAMMIDE 15%, ELASTAM 5%",0.171,8,Accessori unisex hi-tech,BLACK,UNICA,NO,,http://moluko.com,yes,no,
901_black_unica,Tube - UNICA,"Tube    Composizione : POLIPROPILENE 80%, POLIAMMIDE 15%, ELASTAM 5%",0.171,16,Accessori unisex hi-tech,BLACK,UNICA,NO,,http://moluko.com,yes,no,
